family,original_id,verified_identification,lowest_tax_cat,notes
,Spratelloides gracilis,Spratelloides gracilis,species,
,Stegastes lacrymatus,Stegastes lacrymatus,species,
,Stethojulis albovittata,Stethojulis albovittata,species,
,Strongylura incisa,Strongylura incisa,species,
,Sueviota atrinasa,Sueviota atrinasa,species,
,Sueviota lechneri,Sueviota lachneri,species,
,Suttonia lineata,Suttonia lineata,species,
,Synchiropus mayeri,Synchiropus moyeri,species,
,Synchiropus moyeri,Synchiropus moyeri,species,
,Synodontidae unidentified,Synodontidae,family,
,Synodus binotatus,Synodus binotatus,species,
,Synodus jaculum,Synodus jaculum,species,
,Synodus sp.,Synodus,genus,
,Taeniamia melasma,Taeniamia melasma,species,
,Thalasomma lunare,Thalasomma lunare,species,
,Thalassoma amblycephalus,Thalassoma amblycephalus,species,
,Thalassoma quinquelineatus,Thalassoma quinquevittatum,species,
,Thalossoma lunare,Thalassoma lunare,species,
,Thysamophrys chiltonae,Thysanophrys chiltonae,species,
,Thysanophrys chiltonae,Thysanophrys chiltonae,species,
,Thysanophrys otaitensis,Sunagocia otaitensis,species,
,Trachinocephalus sp. 1,Trachinocephalus,genus,
,Trachinocephalus sp. 2,Trachinocephalus,genus,
,Trimma benjamini,Trimma benjamini,species,
,Trimma caudomaculatum,Trimma caudomaculatum,species,
,Trimma habrum,Trimma habrum,species,
,Trimma haimussuu,Trimma haimassum,species,
,Trimma halonevum,Trimma halonevum,species,
,Trimma macrophthalma,Trimma macrophthalmus,species,
,Trimma melasma,Eviota melasma,species,Assumed that spp melasma is correct and the genus Trimma was mixed up with Eviota.
,Trimma milta,Trimma milta,species,
,Trimma nasa,Trimma nasa,species,
,Trimma naudae,Trimma naudei,species,
,Trimma preclarum,Trimma preclarum,species,
,Trimma preclarum (?),Trimma preclarum,species,
,Trimma sp.,Trimma,genus,
,Trimma stobbsi,Trimma stobbsi,species,
,Trimma striatum,Trimma striatum,species,
,Trimma trioculatum,Trimma trioculatum,species,
,Trimmaton sp.,Trimmatom,genus,
,Ucla xenogrammus,Ucla xenogrammus,species,
,Ungurcirculus williamsii,Ungusurculus williamsi,species,
,Ungursurculis sp.,Ungusurculus,genus,
,Ungusurculus philippinensis,Ungusurculus philippinensis,species,
,Ungusurculus williamsi,Ungusurculus williamsi,species,
,Ungusurculus williamsi (?),Ungusurculus williamsi,species,
,Uroconger lepturus,Uroconger lepturus,species,
,Uroconger sp.,Uroconger,genus,
,Uropterygius concolor (?),Uropterygius concolor,species,
,Uropterygius kamar,Uropterygius kamar,species,
,Uropterygius marmoratus,Uropterygius marmoratus,species,
,Uropterygius sp.,Uropterygius,genus,
,Uropterygius xanthopterus,Uropterygius xanthopterus,species,
,Valencia sexguttata,Valenciennea sexguttata,species,
,Valenciennea sp. 1,Valenciennea,genus,
,Valenciennea sp. 2,Valenciennea,genus,
,Variola louti,Variola louti,species,
,Verulux cypeselurus,Verulux cypselurus,species,
,Xenisthmus eirospilus,Xenisthmus eirospilus,species,
,Zebrasoma scopus,Zebrasoma scopas,species,
Acanthuridae,Naso annulatus,Naso annulatus,species,
Antennariidae,Antennarius commerson,Antennarius commerson,species,
Antennariidae,Antennarius nummifer,Abantennarius nummifer,species,
Antennariidae,Antennatus tuberosus,Antennatus tuberosus,species,
Apogonidae,Apogon c.f. deetsi,Apogon deetsie,species,c.f.
Apogonidae,Apogon semiornatus,Apogon semiornatus,species,
Apogonidae,Apogon articycla,Neamia articycla,species,Assumed that Apogon was accidentally written instead of Neamia. Neamia articycla is in the dataset.
Apogonidae,Fowleria sp. (cf. marmorata),Fowleria marmorata,species,c.f.
Apogonidae,Ostorhinchus fraenatus,Pristiapogon fraenatus,species,
Apogonidae,Ostorhinchus hoeveni,Ostorhinchus hoevenii,species,
Apogonidae,Ostorhinchus parvula,Ostorhinchus parvulus,species,
Apogonidae,Ostorhinchus rubrimacula,Ostorhinchus rubrimacula,species,
Apogonidae,Pristiapogon abogramma,Pristiapogon abrogramma,species,
Apogonidae,Pseudamia amblyuropterus,Pseudamia amblyuroptera,species,
Apogonidae,Siphamia jebbi,Siphamia jebbi,species,
Apogonidae,Siphamia spinicola,Siphamia spinicola,species,
Atherinidae,Atherinomorus lineatus,Atherinomorus endrachtensis,species,
Atherinidae,Hypoatherina tropicalis,Hypoatherina tropicalis,species,
Balistidae,Odonus niger,Odonus niger,species,
Blenniidae,Atrosalarias hosokawai,Atrosalarias hosokawai,species,
Blenniidae,Entomacrodus longirostris,Entomacrodus longicirrus,species,
Blenniidae,Entomacrodus longicirrus,Entomacrodus longicirrus,species,
Blenniidae,Praealticus striatus,Praealticus striatus,species,
Bothidae,Asterorhombus intermedius,Asterorhombus intermedius,species,
Bythitidae,Bythitid sp.,Bythitidae,family,sp.
Bythitidae,Bythitid sp.2,Bythitidae,family,sp.
Callionymidae,Synchiropus sp.,Synchiropus,genus,sp.
Callionymidae,Synchiropus sp. 1,Synchiropus,genus,sp.
Callionymidae,Synchiropus morrisoni,Synchiropus morrisoni,species,
Chlopsidae,Kaupichthys atronasus,Kaupichthys atronasus,species,
Cirrhitidae,Cyprinocirrhites polyactis,Cyprinocirrhites polyactis,species,
Congridae,Conger cinereus,Conger cinereus,species,
Gobiesocidae,Lepadichthys sp.,Lepadichthys,genus,sp.
Gobiidae,Amblyeleotris periophthalma,Amblyeleotris periophthalmus,species,
Gobiidae,Bathygobius sp.,Bathygobius,genus,sp.
Gobiidae,Cabillus lacertops,Cabillus lacertops,species,
Gobiidae,Cabillus tragarevae,Cabillus tongarevae,species,
Gobiidae,Ctenogobiops pomastictus,Ctenogobiops pomastictus,species,
Gobiidae,Eviota afelei,Eviota afelei,species,
Gobiidae,Eviota albolineata,Eviota albolineata,species,
Gobiidae,Eviota cometa,Eviota cometa,species,
Gobiidae,Eviota guttata,Eviota guttata,species,
Gobiidae,Eviota jewetti,Eviota jewettae,species,
Gobiidae,Eviota punctulata,Eviota punctulata,species,
Gobiidae,Eviota randalli,Eviota randalli,species,
Gobiidae,Eviota rubrisparsa,Eviota rubrisparsa,species,
Gobiidae,Eviota shimadai,Eviota shimadai,species,
Gobiidae,Eviota sigillata,Eviota sigillata,species,
Gobiidae,Eviota n.sp. (red),Eviota,genus,n.sp.
Gobiidae,Eviota n.sp. (yellow caudal),Eviota,genus,n.sp.
Gobiidae,"Eviota sp.(red body,yellowhead&tail)",Eviota,genus,sp.
Gobiidae,"Eviota sp., cf. prasites",Eviota prasites,species,c.f.
Gobiidae,Gobiodon citrinus,Gobiodon citrinus,species,
Gobiidae,Gobiodon c.f. quinquestrigatus,Gobiodon quinquestrigatus,species,c.f.
Gobiidae,Gobiodon rivulatus,Gobiodon rivulatus,species,
Gobiidae,Gobiopsis springeri,Gobiopsis springeri,species,
Gobiidae,Grallenia n.sp.,Grallenia,genus,n.sp.
Gobiidae,Luposicya lupus,Luposicya lupus,species,
Gobiidae,Oplopomus caninoides,Oplopomus caninoides,species,
Gobiidae,Pleurosicya boldinghi,Pleurosicya boldinghi,species,
Gobiidae,Pleurosicya coerulea,Pleurosicya coerulea,species,
Gobiidae,Pleurosicya elongata,Pleurosicya elongata,species,
Gobiidae,Priolepis agrena,Priolepis agrena,species,
Gobiidae,Priolepis kappa,Priolepis kappa,species,
Gobiidae,Priolepis vexilla,Priolepis vexilla,species,
Gobiidae,Sueviota sp.,Sueviota,genus,sp.
Gobiidae,Timmatom nanus,Trimmatom nanus,species,
Gobiidae,Trimma c.f. cheni,Trimma cheni,species,c.f.
Gobiidae,Trimma griffithsi,Trimma griffithsi,species,
Gobiidae,Trimma haimassum,Trimma haimassum,species,
Gobiidae,Trimma sp.2 (Allen & Erdmann),Trimma species 2,species,Allen & Erdmann (2012) pg 946. Trimma species 2 (Striped drawfgoby). Undescribed species sometimes referred to as RW sp. 70.  
Gobiidae,Trimma tevegae,Trimma tevegae,species,
Haemulidae,Plectorhynchus lessonii,Plectorhinchus lessonii,species,
Holocentridae,Myripristis kochiensis,Myripristis kochiensis,species,
Holocentridae,Myripristis pralinea,Myripristis pralinia,species,
Holocentridae,Myrioristis violacea,Myripristis violacea,species,
Labridae,Choerodon zosterophorus,Choerodon zosterophorus,species,
Labridae,Cirrhilabrus rubrimarginatus,Cirrhilabrus rubrimarginatus,species,
Labridae,Cirrhilabrus rubripinnis,Cirrhilabrus rubripinnis,species,
Labridae,Halichoeres bicolor,Halichoeres bicolor,species,
Labridae,Halichoeres hartzfeldii,Halichoeres hartzfeldii,species,
Labridae,Leptojulis cyanopleura,Leptojulis cyanopleura,species,
Labridae,Oxycheilinus orientalis,Oxycheilinus orientalis,species,
Labridae,Pseudocoris yamashiroi,Pseudocoris yamashiroi,species,
Moringuidae,Moringua ferruginea,Moringua ferruginea,species,
Mullidae,Parupeneus barberinoides,Parupeneus barberinoides,species,
Muraenidae,Gymnothorax flavimarginatus,Gymnothorax flavimarginatus,species,
Muraenidae,Gymnothorax fuscomaculatus,Gymnothorax fuscomaculatus,species,
Muraenidae,Gymnothorax herrei,Gymnothorax herrei,species,
Muraenidae,Gymnothorax phasmatodes,Gymnothorax phasmatodes,species,
Muraenidae,Gymnothorax pseudothyrsoideus,Gymnothorax pseudothyrsoideus,species,
Muraenidae,Gymnothorax reevsii,Gymnothorax reevsii,species,
Muraenidae,Gymnothorax rueppelliae,Gymnothorax rueppelliae,species,
Muraenidae,Uropterygius nagoensis,Uropterygius nagoensis,species,
Nemipteridae,Scolopsis ciliata,Scolopsis ciliata,species,
Ophichthidae,Callechelys marmorata,Callechelys marmorata,species,
Ophichthidae,Ichthyapus vulturus,Ichthyapus vulturis,species,
Opittognathidae,Opistognathus sp. 6 (Allen & Erdmann),Opistognathus species 6,species,Allen & Erdmann (2012) pg 356. Opistognathus species 6 (Chinstrap Jawfish). Undescribed species.
Pinguipedidae,Parapercis bimacula,Parapercis bimacula,species,
Pinguipedidae,Parapercis millepunctata,Parapercis millepunctata,species,
Pinguipedidae,Parapercis schauinslandii,Parapercis schauinslandii,species,
Pinguipedidae,Parapercis n.sp.,Parapercis,genus,n.sp.
Platycephalidae,Rogadius patriciae,Rogadius patriciae,species,
Platycephalidae,sp.,Platycephalidae,family,sp.
Platycephalidae,Thysanophrys celebicus,Thysanophrys celebica,species,
Plesiopidae,Steeneichthys nativitatus,Steeneichthys nativitatus,species,
Pomacanthidae,Centropyge vrolicki,Centropyge vrolikii,species,
Pomacanthidae,Pomacanthus semicircularis,Pomacanthus semicirculatus,species,
Pomacentridae,Chromis alpha,Chromis alpha,species,
Pomacentridae,Chromis atripectoralis,Chromis atripectoralis,species,
Pomacentridae,Chromis trifasciatus,Pycnochromis retrofasciatus,species,"Valid genus name. Likely misnamed spp name as C. trifasciatus instead of C. retrofasciatus, which is valid as Pycnochromis retrofasciatus, which is present in this dataset. Valid spp name with Parupeneus trifasciatus and Chaetodon trifasciatus. However neither occur in the Philippines or are in this dataset. Chaetodon trifascialis is in this dataset, however I don't think Chromis would be confuzed with Chaetodon. Occums razor concludes P. retrofasciatus. "
Pomacentridae,Chrysiptera sp1. c.f. rex,Chrysiptera,genus,c.f.
Pomacentridae,Neopomacentrus violascens,Neopomacentrus violascens,species,
Pomacentridae,Pomacentrus nagasakiensis,Pomacentrus nagasakiensis,species,
Pomacentridae,Pomacentrus nigromarginatus,Pomacentrus nigromarginatus,species,
Pseudochromidae,Pseudochromis cf. fuscus,Pseudochromis fuscus,species,c.f.
Pseudochromidae,Pseudochromis perspicillatus,Pseudochromis perspicillatus,species,
Pseudochromidae,Pseudoplesiops immaculatus,Pseudoplesiops immaculatus,species,
Ptereleotridae,Parioglossus philippinus,Parioglossus philippinus,species,
Scaridae,Chlorurus sordidus,Chlorurus sordidus,species,
Scaridae,Scarus flavipectoralis (?),Scarus flavipectoralis,species,"marked ""?"""
Scaridae,Scarus tricolor juveniles (?),Scarus tricolor,species,"marked ""?"""
Scorpaenidae,Cocotropus dermacanthus,Cocotropus dermacanthus,species,
Scorpaenidae,Scorpaenopsis macrochir,Scorpaenopsis macrochir,species,
Scorpaenidae,Scorpaenopsis oxycephala,Scorpaenopsis oxycephalus,species,
Scorpaenidae,Sebastapistes cyanostigma,Sebastapistes cyanostigma,species,
Scorpaenidae,Sebastapistes fowleri,Sebastapistes fowleri,species,
Scorpaenidae,Taenianotus triacanthus,Taenianotus triacanthus,species,
Serranidae,Cephalopholis aitha,Cephalopholis aitha,species,
Serranidae,Epinephelus hexagonatus,Epinephelus hexagonatus,species,
Serranidae,Liopropoma swalesi,Liopropoma swalesi,species,
Serranidae,Plectranthias inermis,Plectranthias inermis,species,
Serranidae,Plectranthias longimanus,Plectranthias longimanus,species,
Serranidae,Pogonoperca punctata,Pogonoperca punctata,species,
Serranidae,Pseudanthias hypselosoma,Pseudanthias hypselosoma,species,
Serranidae,Pseudanthias pleurotaenia,Pseudanthias pleurotaenia,species,
Serranidae,Pseudanthias squamipinnis,Pseudanthias squamipinnis,species,
Serranidae,Pseudanthias tuka,Mirolabrichthys tuka,species,
Soleidae,Aseraggodes suzumotoi,Aseraggodes suzumotoi,species,
Soleidae,Heteromycteris hartzfeldii,Heteromycteris hartzfeldii,species,
Soleidae,Pardachirus paroninus,Pardachirus paroninus,species,
Solenostomidae,Solenostomus paradoxus,Solenostomus paradoxus,species,
Synanceiidae,Synancea alalua,Synanceia alula,species,misspelling
Syngnathidae,Bhanotia pauciradiata,Bhanotia pauciradiata,species,
Syngnathidae,Corythoichthys flavofasciatus,Corythoichthys flavofasciatus,species,
Syngnathidae,Corythoichthys polynotatus,Corythoichthys polynotatus,species,
Syngnathidae,Corythoichthys sculptus,Choeroichthys sculptus,species,"Valid spp name. Likely confused Choeroichthys with Corythoichthys. Choeroichthys scultpus is in the Philippines, but not in the dataset. Corythoichthys is a valid genus name. Corythoichthys schultzi is present in this dataset. "
Syngnathidae,Cosmocampus investigatoris,Cosmocampus investigatoris,species,
Syngnathidae,Doryrhamphus melanopleura,Doryrhamphus melanopleura,species,
Syngnathidae,Festucalex sp. C.f. n.sp.,Festucalex,genus,sp. C.f. n.sp.
Syngnathidae,Halicampus dunckeri,Halicampus dunckeri,species,
Syngnathidae,Halicampus macrorhynchus,Halicampus macrorhynchus,species,
Syngnathidae,Phoxocampus tetrophthalmus,Phoxocampus tetrophthalmus,species,
Syngnathidae,Trachyrhamphus longirostris,Trachyrhamphus longirostris,species,
Tetraodontidae,Canthigerter bennetti,Canthigaster bennetti,species,
Tetrarogidae,Richardsonichthys leucogaster,Richardsonichthys leucogaster,species,
Tripterygiidae,Enneapterygius flavoccipitus,Enneapterygius flavoccipitis,species,
Tripterygiidae,Enneapterygius mirabilis,Enneapterygius mirabilis,species,
Tripterygiidae,Helcogramma hudsoni,Helcogramma hudsoni,species,
Tripterygiidae,Helcogramma obtusirostre,Helcogramma obtusirostris,species,
Uranoscopidae,Uranoscopus sulphureus,Uranoscopus sulphureus,species,
,Acanthuridae,Acanthuridae,family,
,Amphiprion polymnus,Amphiprion polymnus,species,
,Clupeidae,Clupeidae,family,
,Corythoichthys schultzi Herald,Corythoichthys schultzi,species,
,Creediidae,Creediidae,family,
,Cryptocentrus albidorsus,Cryptocentrus albidorsus,species,
,Ctenochaetus binotatus Randall,Ctenochaetus binotatus,species,
,Dussumieriinae,Dussumieriinae,subfamily,
,Enneapterygius hemimelas Kner & Steindachner,Enneapterygius hemimelas,species,
,Flabellicauda alleni Fujiwara et al.,Flabellicauda alleni,species,
,Halichoeres melanochir Fowler & Bean,Halichoeres melanochir,species,
,Hypoatherina barnesi Schultz,Hypoatherina barnesi,species,
,Lepadicyathus minor,Lepadicyathus minor,species,
,Liobranchia stria,Liobranchia stria,species,
,Neamia octospina Smith & Radcliffe,Neamia octospina,species,
,Opistognathus albomaculatus Smith-Vaniz,Opistognathus albomaculatus,species,
,Opistognathus hyalinus Smith-Vaniz,Opistognathus hyalinus,species,
,Ostracion meleagris,Ostracion meleagris,species,
,Parascorpaena moultoni,Parascorpaena moultoni,species,
,Parascorpaena poseidon Chou & Liao,Parascorpaena poseidon,species,
,Plesiops cephalotaenia Inger,Plesiops cephalotaenia,species,
,Rhinolepadichthys geminus,Rhinolepadichthys geminus,species,
,Samariscus triocellatus Woods,Samariscus triocellatus,species,
,Xenisthmus africanus,Xenisthmus africanus,species,
