"station_code","specimen_count","verified_identification","lowest_tax_cat","adjusted_latitude","adjusted_longitude","locality","field_number","province_state","island_group","island","bottom","depth_m","study"
"zam_05",14,"Ostorhinchus nigrofasciatus","species",9.139333,123.229833,"Zambanguita, Mojon dive site","ZAM-05","Negros Oriental",NA,"Negros I.","coral, rubble, sand","33 - 70 ft.","cas_2016"
"sqr_06",11,"Ostorhinchus nigrofasciatus","species",9.1712,123.464,"Central Visayas Region, Siquijor I., San Juan, Paliton Wall","SQR-06","Siquijor",NA,"Siquijor I.","coral reef drop-off","60 - 87 ft.","cas_2016"
"sia_03",22,"Ostorhinchus nigrofasciatus","species",9.0473,123.1194,"Siaton, Siit (reef / dive site)","SIA-03","Negros Oriental",NA,"Negros I.",NA,"20 - 60 ft.","cas_2016"
"sia_06",11,"Ostorhinchus nigrofasciatus","species",9.0504,123.1149,"Siaton, Tambobo (dive site)","SIA-06","Negros Oriental",NA,"Negros I.","coral sand","20 - 30 ft.","cas_2016"
"dau_09",13,"Ostorhinchus nigrofasciatus","species",9.195861,123.274139,"Dauin, VIP Resort reef","DAU-09","Negros Oriental",NA,"Negros I.","coral & sand","30 - 50 ft.","cas_2016"
"sqr_12",6,"Ostorhinchus nigrofasciatus","species",9.170194,123.465722,"Central Visayas Region, Siquijor I., San Juan, Paliton [Wall]","SQR-12","Siquijor",NA,"Siquijor I.",NA,"43 ft.","cas_2016"
"dau_15",3,"Ostorhinchus nigrofasciatus","species",9.2011,123.2793,"Negros I., Dauin, San Miguel dive site","DAU-15","Negros Oriental",NA,"Negros I.",NA,"79 ft.","cas_2016"
"sqr_18",8,"Ostorhinchus nigrofasciatus","species",9.165361,123.476,"Siquijor I., off Solongon","SQR-18","Siquijor",NA,"Siquijor I.",NA,"50 - 67 ft.","cas_2016"
"sqr_21",1,"Ostorhinchus nigrofasciatus","species",9.1375,123.514556,"Siquijor I., Tubod South","SQR-21","Siquijor",NA,"Siquijor I.",NA,"0 - 16 ft.","cas_2016"
"mab_308",24,"Ostorhinchus nigrofasciatus","species",13.717278,120.872472,"Batangas, Mabini, Koala (dive site)","MAB-308","Batangas",NA,"Luzon I.",NA,"10 - 19 ft.","cas_2016"
"mab_319",6,"Ostorhinchus nigrofasciatus","species",13.688167,120.827278,"Batangas, Tingloy, Sepok (dive site)","MAB-319","Batangas",NA,"Luzon I.",NA,"85 ft.","cas_2016"
"mab_332",4,"Ostorhinchus nigrofasciatus","species",13.817944,120.904,"Ligpo (dive site)","MAB-332","Batangas",NA,"Luzon I.","base wall, coral & sand","40 - 53 ft.","cas_2016"
"mab_342",5,"Ostorhinchus nigrofasciatus","species",13.659028,120.837389,"Batangas, Tingloy, south side of Maricaban I., Batalang Bato (""Kitchen Rock"").","MAB-342","Batangas","Zapato Is.","Maricaban I.",NA,"45 - 63 ft.","cas_2016"
"mab_349",1,"Ostorhinchus nigrofasciatus","species",13.651028,120.841389,"Batangas, Tingloy, south side of Maricaban I., Devil's Point (dive site)","MAB-349","Batangas","Zapato Is.","Maricaban I.",NA,"100 - 130 ft.","cas_2016"
"dau_09",1,"Ostorhinchus novemfasciatus","species",9.195861,123.274139,"Dauin, VIP Resort reef","DAU-09","Negros Oriental",NA,"Negros I.","coral & sand","30 - 50 ft.","cas_2016"
"mab_356",1,"Ostorhinchus parvulus","species",13.687556,120.832611,"Batangas, Tingloy, SW tip of Maricaban I., ""MYC"" (Mabini Yacht Club) [painted on a rock]","MAB-356","Batangas","Zapato Is.","Maricaban I.","sand, rock, sparse coral","45 - 70 ft.","cas_2016"
"zam_05",19,"Ostorhinchus rubrimacula","species",9.139333,123.229833,"Zambanguita, Mojon dive site","ZAM-05","Negros Oriental",NA,"Negros I.","coral, rubble, sand","33 - 70 ft.","cas_2016"
"sia_03",1,"Ostorhinchus rubrimacula","species",9.0473,123.1194,"Siaton, Siit (reef / dive site)","SIA-03","Negros Oriental",NA,"Negros I.",NA,"20 - 60 ft.","cas_2016"
"sia_06",8,"Ostorhinchus rubrimacula","species",9.0504,123.1149,"Siaton, Tambobo (dive site)","SIA-06","Negros Oriental",NA,"Negros I.","coral sand","20 - 30 ft.","cas_2016"
"dau_09",73,"Ostorhinchus rubrimacula","species",9.195861,123.274139,"Dauin, VIP Resort reef","DAU-09","Negros Oriental",NA,"Negros I.","coral & sand","30 - 50 ft.","cas_2016"
"sqr_12",3,"Ostorhinchus rubrimacula","species",9.170194,123.465722,"Central Visayas Region, Siquijor I., San Juan, Paliton [Wall]","SQR-12","Siquijor",NA,"Siquijor I.",NA,"43 ft.","cas_2016"
"dau_18",2,"Ostorhinchus rubrimacula","species",9.196639,123.275111,"Negros I., Dauin, VIP reef","DAU-18","Negros Oriental",NA,"Negros I.","sand w/ some seagrass; slope w/ outcrops","19 ft.","cas_2016"
"mab_321",6,"Ostorhinchus taeniophorus","species",13.687944,120.841333,"Batangas, Tingloy, between Maricaban & Caban Islands, off Caban I., Layag-Layag.","MAB-321","Batangas",NA,"Caban I.",NA,"0 - 3 ft.","cas_2016"
"mab_349",1,"Pristiapogon abrogramma","species",13.651028,120.841389,"Batangas, Tingloy, south side of Maricaban I., Devil's Point (dive site)","MAB-349","Batangas","Zapato Is.","Maricaban I.",NA,"100 - 130 ft.","cas_2016"
"sqr_06",1,"Pristiapogon exostigma","species",9.1712,123.464,"Central Visayas Region, Siquijor I., San Juan, Paliton Wall","SQR-06","Siquijor",NA,"Siquijor I.","coral reef drop-off","60 - 87 ft.","cas_2016"
