complete_name	location	legislation	network	year_established	core_area_ha	buffer_area_ha
Matabao Marine Sanctuary	Matabao Tubigon Bohol	Barangay Ordinance No. 1-2011

SB Resolution No. 2001-173	null	2011	52.6	15
Matabao Fish Sanctuary	null null null	Brgy. Ord. # 1 of 2011, Mun. Res. #: 2011-173³	null	2011	52.6	0
Manda Island Marine Protected Area	null n.a. ( 41426) Tawi Tawi	MUNICIPAL ORDINANCE NO. 001 MANDA ISLAND MARINE PROTECTED AREA 2007	null	2007	52.61	0
Cutad - Pico de Loro Marine Reserve	Papaya Nasugbu Batangas	Ordinance No. 23, Resolution No. 52 Series 2009	null	2009	52.62	0
Apalan Marine Reserve & Fish Sanctuary	null Tuburan Cebu	Municipal Ordinance Municipal Ordinance (not specified)	null	2000	53	0
Kayreyna Marine Protected Area	Lumaniag Lian Batangas	Municipal Ordinance No. 05, Series of 2015	Batangas Marine Protected Area And Bantay Dagat Network	2015	53.057	0
Tuka Marine Park, Reserve and Sanctuary	null Kiamba Sarangani	An Ordinance for the Utilization, Development, Conservation, Protection and Management of Fisheries and Aquatic Resources in the Municipality of Kiamba, Sarangani Province and for Other Purposes/Municipal Ordinance No. 06-084; Municipal Ordinance MO# 2005-82	null	2006	53.305	0
Pilar Island Fish Sanctuary No. 1	null Santo Nino Samar	Municipal Ordinance Mun. Ord. (specific number not obtained)	null	0	54	0
Capinahan Marine Sanctuary	null Bais City Negros Oriental	MO No. s of 2015	Capinahan Marine Ordinance 

MO No. s of 2007	Coastal Zoning Ordinance	null	2014	54.01	0
Mitri Community-Managed Marine Area	Buena Suerte Pob. (Barangay 2) El Nido (Bacuit) Palawan	MO 2009-01	null	2009	54.6	0
Bonbon Marine Sanctuary	null Aloguinsan Cebu	MO No. 02 s of 2005	Marine Sanctuary Regulations Ordinance

MO No. 01 s of 2005	MPA Ordinance

MO No. 01 s of 2013	Bonbon Marine Sanctuary Ordinance

MO No. 02 s of 1999	Coastal and Fisheries Management Ordinance	null	2013	54.7	0
Pagudpud (Pimmaga) Fish Sanctuary	Pasaleng Pagudpud Ilocos Norte	MO # Establishing the Pagudpud Fish Sanctuaries	null	2008	54.86	0
Sta. Cruz Community Marine Reserve	Kalangkang Santa Cruz Marinduque   / Kasily Santa Cruz Marinduque	MO #45 S of 2008	null	2008	55.128	139.78
Tigao Fish Sanctuary	Tigao Cortes Surigao Del Sur	Municipal Ordinance No. 17-96	Lanuza Bay Development Alliance (LBDA)	1996	55.31	0
Oroquieta City Marine Sanctuary	null null Misamis Occidental	NA	null	1999	56	0
Barangay Dolores Marine Fish Haven	null null null	Municipal Ordinance 2-2014	null	2014	56.51	0
Carabao Island Fish Sanctuary	null null Cavite	Ordinance No. 74-S-2004	null	2015	56.8	0
Dibutunan Marine Protected Area	Dibutunan Dipaculao Aurora	Ordinance No.2006-02	null	2006	57.71	0
Lanuza Marine Park and Sanctuary	Sibahay Lanuza Surigao Del Sur   / null Lanuza Surigao Del Sur	Municipal Ordinance No. 122, Series of 1999	Lanuza Bay Development Alliance (LBDA)	2002	58	0
Dao Dao Island Marine Protected Area	null Pagadian City Zamboanga Del Sur	Municipal Ordinance Municipal Ordinance 2007 - 260	null	2007	58	0
Mahanay Marine Sanctuary	Mahanay (Mahanay Island) Jetafe Bohol	Municipal Ordinance Mun Ord  (not specified)	null	1997	59	0
Naic Fish Sanctuary	null null Cavite   / Mabolo Naic Cavite   / Bucana Malaki Naic Cavite	SB Resolution No. 03 Series of 2003	null	2003	59.3	0
Tu-balan Cove	null Malita Davao Del Sur	NA	Davao Gulf Marine Protected Area Network Plan	2003	60	0
Lapinig Island Fish Sanctuary	Lapinig Pres. Carlos P. Garcia Bohol	Municipal Ordinance C-001 No. 05, Series of 1986, Municipal Ordinance C-002, Series of 1986, Municipal Ordinance No. 06, Series of 2000	null	1986	60	0
Kalaparan Coral Reef Protected Area	null Tobias Fornier Antique	Municipal Ordinance Mun. Ord. 24-2002	null	2002	60	0
Bolinao Seagrass Reserve	null Bolinao Pangasinan	Municipal Ordinance Municipal Fisheries Ordinance No. 1 series of 2007	null	2007	60	0
Bagsak, Central Fish Sanctuary	null null Davao Oriental	NA	null	0	60	0
Pandan Grande Sanctuary	Buenavista Sablayan Occidental Mindoro	General Ordinance 03-2008	null	2008	60	0
Calatagan Pyramid Artificial Reef Marine Protected Area	Bagong Silang Calatagan Batangas	Calatagan Environmental Code 2009/ Barangay Ordinance	Batangas Marine Protected Area And Bantay Dagat Network	2000	60.03	0
Pasadena Community-Managed Marine Area	Pasadena El Nido (Bacuit) Palawan	Mun. Ordinance No. 002 series 2008 ""An Ordinance Establishing the Cagbatang Marine Protected Area Located at Barangay Pasadeña, Municipality of El Nido, Palawan""	null	2008	60.6	0
Song of the Sea Fish Sanctuary	Misong Pola Oriental Mindoro	Municipal Ordinance No. 2014-06	null	2013	60.61	0
Corong-Corong Reef Fish Sanctuary	null Puerto Princesa City Palawan	Municipal Ordinance Ordinance No. 447: An Ordinance Declaring Sixty Point Zero Nine (60.09) Hectares of Corong-Corong Reef Situated at bgy. Bagong Bayan, Puerto Princesa City, as Fish sanctuary.	null	2010	60.9	0
Roseller T. Lim Marine Protected Area	Magsaysay Roseller Lim Zamboanga Sibugay	Mun Or. 01-06-06	null	2006	62	50
Municipal Fishery Reserve and Sanctuary of Tigaon	Huyonhuyon Tigaon Camarines Sur   / Casuna Tigaon Camarines Sur	Municipal Ordinance 004, series of 2010	null	2010	62.2	0
San Jose Artificial Reef Project	null Tacloban City Leyte	Resolution BR	null	0	63	0
Buluan Island Marine Sanctuary	Bulu-An Ipil Zamboanga Sibugay	Municipal Ordinance 09-214-2006	null	2006	63.16	20
Kaeyoy Marine Protected Area	Palilan Jimenez Misamis Occidental	Municipal Ordinance	null	2002	63.2	0
Loyola Fish Sanctuary	null Hinatuan Surigao Del Sur	Barangay Ordinance BO# 12	null	1999	63.5	0
Maloong Canal Shoal MPA	Tumakid Lamitan Basilan   / Luksumbang Lamitan Basilan   / Malo-Ong Canal Lamitan Basilan	An Ordinance establishing the Maloong Canal Shoal Marine Protected Area of Fish Sanctuary Area within the municipal waters of Barangays Maloong Canal, Tumakid, and Luksubang providing for the management, conservation, development and protection thereof, appropriating funds thereof, and other purposes.	null	2007	64	144
Bintuan Sangat Marine Park	null Coron Palawan	NA	null	2004	64	0
Bani Marine Protected Area	Bani Masinloc Zambales	NA	null	2006	64.43	0
Pandan No Take Zone	Calutcot Burdeos Quezon	Municipal Resolution No. 035 Series of 2007	null	2007	64.5	0
Campomanes-Ballo Marine Reserve and Sanctuary	Barangay 4 Sipalay Negros Occidental   / Maricalum Sipalay Negros Occidental	City ordinance no. 2004-006 as ammended by C.O. No. 2012-004	null	2013	66	1
Palm Reef Marine Reserve and Sanctuary	Po-Ok Hinoba-An Negros Occidental	Municipal ordinance No. 2003-006	null	2003	66	0
Burgos Reef Sanctuary	Burgos Sablayan Occidental Mindoro	General Ordinance 03-2008	null	2008	67.68	0
Sta. Cruz Seagrass Sanctuary	null Calape Bohol	Municipal Ordinance MO# 07-s-2003	null	2003	67.72	0
Lagasan-Pababag Marine Protected Area	Pababag Bongao Tawi Tawi   / Lagasan Bongao Tawi Tawi	Municipal Ordinance MO# 163-s-2005	null	2005	68.79	0
Villahermosa Marine Sanctuary	Villahermosa Tudela Cebu	Municipal Ordinance MO# 2-2004	null	2004	69.3	0
Dapdap Esperanza Marine Sanctuary and Mangrove Reserve	Esperanza Pilar Cebu   / Dapdap Pilar Cebu	Municipal Ordinance No. 10, Series of 2012	null	2012	70	0
Lacson Reef Marine Sanctuary	null Puerto Princesa City Palawan	Municipal Ordinance Ordinance No. 345: An Ordinance Declaring the Coastal and Marine Bays of the Lacson Reef, Located at Honda Bay, Bgy. Tanabag, Puerto Princesa City, as Marine Sanctuary	null	2007	70	0
Adlay Marine Protected Area	Adlay Carrascal Surigao Del Sur	Municipal Ordinance No. 7, 2006	Lanuza Bay Development Alliance (LBDA)	2006	70	0
San Juan (Pagpisotan) Fish Sanctuary	San Juan Hinatuan Surigao Del Sur	Barangay Ordinance No. 11, Series of 1999, SB Resolution No. VM-172, SP Resolution No. 180, Series of 2004	null	1997	70	0
Misom Sanctuary	null Baliangao Misamis Occidental	NA	null	0	70	0
Carrascal Marine Protected Area	Caglayag Carrascal Surigao Del Sur	Municipal Ordinance No.9, 2005	Lanuza Bay Development Alliance (LBDA)	1999	70	0
Shellfish Reservation Zone	null Roxas City Capiz	Municipal Ordinance # 016 - 2007 amended	null	2002	70	0
Lumbal Fish Sanctuary	null Vincenzo A. Sagun Zamboanga Del Sur	NA	null	0	70	0
Badiang Fish Sanctuary	Badiang Anda Bohol	Municipal Ordinance Municipal Ordinance (specific number not obtained)	null	1999	70	0
Ipil Marine Reserve Area/ Fish Sanctuary	null Ormoc City Leyte	Municipal Ordinance Mun. Ord. 03-01	null	2005	70.2	0
Atulayan Bay Fish Sanctuary and Marine Reserve (Site I)	Atulayan Sagnay Camarines Sur	Municipal Ordinance 001, series of 1993

ammended 2013	null	1993	70.36	72.28
Pangyan Marine Protected Area	null Glan Sarangani	Mun. Ordinance 2000-02; Glan Coastal and Fishery Resources Management Ordinance of 2000, Ordinance No. 2000-04	null	2000	70.41	0
Tres Marias Marine Sanctuary	Bebeladan El Nido (Bacuit) Palawan	Municipal Ordinance Mun. Ordinance No. 001 series of 2007 ""An Ordinance Establishing Tres Marias Marine Sanctuary in the Municipality of El Nido, Palawan""	null	2007	70.8	0
Caretunan-Quilitisan Joint MPA	Carretunan Calatagan Batangas   / Quilitisan Calatagan Batangas	Calatagan Environmental Code 2009/ Barangay Ordinance	Batangas Marine Protected Area And Bantay Dagat Network	2000	71	0
Humay-humay Marine Sanctuary	Humayhumay Ubay Bohol	Municipal Ordinance Mun Ord  07-2006	null	0	71.2	0
Bilang-Bilangan West (Daku)	null Bien Unido Bohol	Municipal Ordinance MO# 2000-21, Mun Ord  02-2002	null	2000	71.9	0
Atulayan Island Fish Sanctuary (Site II)	null Sagnay Camarines Sur	Admin Order BFAR AO	null	1993	72	0
Baruarte-Bataan-Nagsaulay-Subukin Mangrove Protected Area	Subukin San Juan Batangas   / Bataan San Juan Batangas   / Barualte San Juan Batangas   / Nagsaulay San Juan Batangas	MO 01-2010, amended Municipal Ordinance No. 07-2006 / RA 8550	null	2000	73	0
Ticalan Marine Protected Area	Ticalan San Juan Batangas	MO 01-2010, amended Municipal Ordinance No. 07-2006 / RA 8550	null	2000	73	0
Badung-Badung Island Marabut (Western) Fish Sanctuary	null null Leyte	Admin Order BFAR AO	null	0	73	0
Parunponon Island Fish Sanctuary (Manalo)	null Puerto Princesa City Palawan	Municipal Ordinance Ordinance No. 144: An Ordinance Declaring seventy Four (74) Hectares West of Parunponon Island, Located at Honda Bay, bgy. Manalo, This City, as Fish Sanctuary.	null	2000	74	0
Badung-badong Fish Sanctuary	null Marabut Samar	Municipal Ordinance Mun. Res. No. 49-A-1992	null	1992	74	0
Atop-Atop Marine Sanctuary	Atop-Atop Bantayan Cebu	Municipal Ordinance Mun. Ord No. 11-1996;	null	1996	74.22	0
Looc Fish Sanctuary	null Almeria Biliran	Municipal Ordinance MO# 18	null	2009	74.4	0
Macrohon - Santa Cruz Marine Park Bird and Fish Sanctuary	Molopolo Macrohon Southern Leyte   / Santa Cruz Macrohon Southern Leyte	Municipal Ordinance No. 1996-228	null	1996	74.96	37.32
Calucub 1st Marine Protected Area	Calubcub I San Juan Batangas	MO 01-2010, amended Municipal Ordinance No. 07-2006 / RA 8550	null	2000	75	0
Lorong Panay Fish Sanctuary	null Panganiban Catanduanes	NA	null	0	75	0
Danan Fish Sanctuary	null Vincenzo A. Sagun Zamboanga Del Sur	NA	null	0	75	0
Lunib Fish Sanctuary	null Vincenzo A. Sagun Zamboanga Del Sur	NA	null	0	75	0
Dimataling Municipal Marine Protected Area	null Dimataling Zamboanga Del Sur	Municipal Ordinance IBRA 9 Unified Ordinance # 1	null	2006	75	0
Burgos Bird and Fish Sanctuary	Burgos Cortes Surigao Del Sur	Municipal Ordinance No. 2 series of 2006	Lanuza Bay Development Alliance (LBDA)	1998	75.6	0
Dabong Island Fish Sanctuary	null Santa Margarita Samar	Municipal Ordinance Mun. Ord. (specific number not obtained)	null	2005	75.622	0
Banilad Fish Sanctuary	Banilad Dumaguete City Negros Oriental	Resolution Brgy. Res. (no specific number available)	null	2011	76	0
Buloc-buloc Cove Marine Protected Area	Montemayor Naujan Oriental Mindoro	Municipal Ordinance at SB (Final Reading; currently being updated as of February 2017)	Oriental Mindoro Marine Protected Area And Fishery Law Enforcement Network (Ommpafle Network)	2016	77	0
San Miguel Marine Protected Area	San Miguel Linapacan Palawan	MO 14, S 2003	null	2003	77	622
Pandan Piqueno Sanctuary	Buenavista Sablayan Occidental Mindoro	General Ordinance 03-2008	null	2008	78	0
Cawili Bird and Marine Sanctuary	null Cagayancillo Palawan	Municipal Ordinance Municipal Ordinance No, 01-2009	null	2004	78.81	0
Abung Marine Protected Area	Abung San Juan Batangas	MO 01-2010, amended Municipal Ordinance No. 07-2006 / RA 8550	null	2006	80	0
Mahabang Buhangin Cove Fish Sanctuary and Refuge	Tubili Paluan Occidental Mindoro	Municipal Ordinance No. 10 S-2011	null	2011	80	486.2
Discovery Reef	Ligaya Sablayan Occidental Mindoro	General Ordinance 03-2008	null	2008	80	0
Brgy. Rizal Marine Protected Area	null null null	Barangay Resolution No. 3 S of 2007

MO No. 339 S2007



with Coral Reef 2	null	2007	80	1333
Agsalin Fish Sanctuary	null Gloria Oriental Mindoro	SB Resolution No.3051-A; Municipal Ordinance No. 4-2005	Oriental Mindoro Marine Protected Area And Fishery Law Enforcement Network (Ommpafle Network)	2004	80.13	0
Tambong Fishery Reserve	Tambong Gloria Oriental Mindoro	Municipal Ordinance No.05 – 2014, SB Resolution No. 113	Oriental Mindoro Marine Protected Area And Fishery Law Enforcement Network (Ommpafle Network)	2013	80.4	0
Gasan Community Marine Reserve	Pingan Gasan Marinduque	Municipal Ordinance No. 37, Series of 1997	null	1997	82	1739
Gaas Bay Marine Protected Area	null Cagdianao Dinagat Islands	NA	null	2005	82	0
Dalipe Point/ Bintanang Bato	Santa Lucia Sablayan Occidental Mindoro	General Ordinance 03-2008	null	2008	82	0
Palaypay Cove Fish Sanctuary	B. Del Mundo Mansalay Oriental Mindoro	Municipal Ordinance No.2007-34	Oriental Mindoro Marine Protected Area And Fishery Law Enforcement Network (Ommpafle Network)	2006	82.79	0
Nalasuan Island Marine Sanctuary	null Cordoba Cebu	Municipal Ordinance Mun Ord  06-2002	null	2002	83.12	0
Borongan Fish Sanctuary	null Borongan Eastern Samar	Municipal Ordinance Mun. Ord. 017-1997	null	1997	84	0
Jordan Municipal Marine Reserve and Sanctuary for All Marine Life including  Sea Turtles	null Jordan Guimaras	Municipal Ordinance  1997-06

Municipal Ordinance 006-2016	null	1997	84.9	0
Nabangka Fish Sanctuary	Cabong Norte Guinayangan Quezon	Municipal Ordinance Municipal Ordinance - Resolution 529 s.2000, 125 s.2001, 266 s.2002,	null	2001	85	0
Pagadian City Marine Protected Area 2 (Lalas)	null Pagadian City Zamboanga Del Sur	NA	null	2008	85.44	0
Donsol Marine Conservation Park	Sibago Donsol Sorsogon   / Tinanogan Donsol Sorsogon   / null Donsol Sorsogon	Mun.Ord. #054, Series-2007 An Ordinance providing for the establishment of Marine Conservation Park in he Municipal water of Donsol, Sorsogon and prescribing penalties in violation thereof.	null	2007	86	227
Tibu- Tabu Marine Protected Area	null San Pablo Zamboanga Del Sur	Municipal Ordinance Ordinance No. 01, Series of 2006 (Joint Barangay Ordiance) As amended in 2010 (second reading)	null	2006	87	0
Tubig Kuppiya Marine Protected Area	Tumahubong Languyan Tawi Tawi   / Simalak Languyan Tawi Tawi   / Bakong Languyan Tawi Tawi	ORDINANCE NO. 08 TUBIG KUPPIYA MARINE PROTECTED AREA ORDINANCE OF 2006	null	2006	87.42	0
Uson-Bariis Marine Sanctuary	null Caibiran Biliran	Municipal Ordinance Mun Ord  (specific number not obtained)	null	2006	87.9004	0
Ormoc Bay	null Ormoc City Leyte	NA	null	0	87.93	0
Pagadian City Marine Protected Area 1	null Pagadian City Zamboanga Del Sur	NA	null	2001	88	0
Culasian Fish Sanctuary	null Capoocan Leyte	Municipal Ordinance Mun. Ord. No. 259 Series 1991	null	1991	88.5	0
Tamauyan Reef Fish Sanctuary	null San Teodoro Oriental Mindoro	Municipal Ordinance No.03-2014	Oriental Mindoro Marine Protected Area And Fishery Law Enforcement Network (Ommpafle Network)	2006	89.37089376	0
Teneguiban Fish Sanctuary	Teneguiban El Nido (Bacuit) Palawan	BR 2007-19	null	2007	91.6	0
Brgy. Ermita Marine Protected Area	Ermita San Carlos City Negros Occidental	City Ordinance No. 29, Series of 2005	null	2005	96	39
Dansulao Marine Protected Area	Dansulao Malangas Zamboanga Sibugay	Barangay Ordinance	null	2004	98	14
Monching Siay Artificial Coral Reef	null Siay Zamboanga Sibugay	Fishery Program	null	0	100	0
Nasidman Islan Sanctuary	null Ajuy Iloilo	Municipal Ordinance Mun. Od. No. 206-08	null	2004	100	0
Tanza Artificial Reef Project	null Estancia Iloilo	NA	null	0	100	0
Brgy. Biasong Mangrove Protection and Rehabilitation and Fish Sanc. (prop)	null San Isidro Leyte	NA	null	0	100	0
Caraga Fish Sanctuary	null Caraga Davao Oriental	Municipal Ordinance MO# 02	null	2002	100	0
Paradang Goma, Pulong Bato Fish Sanctuary	null Infanta Quezon	Municipal Ordinance MO	null	2003	100	0
Pulo-Pina MPA	null Tungawan Zamboanga Sibugay	NA	null	2005	100	0
Mapanas Bay Marine Resource Dev't Project	null Mapanas Northern Samar	NA	null	0	100	0
Ginasian Daku Island Fish Sanctuary	null Ajuy Iloilo	Municipal Ordinance Mun Ord  2006-08	null	2004	100	0
Looc Marine Reserve	null Coron Palawan	NA	null	2006	100	0
Sumalig, Tambulig Fish Sanctuary	Sumalig Tambulig Zamboanga Del Sur	NA	null	0	100	0
Ginasian Diutay Island Fish Sanctuary	null Ajuy Iloilo	Municipal Ordinance Mun Ord  2006-08	null	2004	100	0
Maguiring and Sogod Fish Sanctuary	null Calabanga Camarines Sur	NA	null	0	100	0
Maculay Fish Sanctuary	null Vincenzo A. Sagun Zamboanga Del Sur	Barangay Ordinance BO# 05	null	1998	100	0
Murcielagos Island Protected Landscape and Seascape	null null Zamboanga Del Norte	Proclamation 281,s.2000	null	2000	100	151
Tan-Luc Marine Protected Area	null null null	Municipal Ordinance 4-2012	null	2012	100	0
Kalampisaw at Elet Marine Sanctuary	null Busuanga Palawan	Municipal Ordinance MO# 13	null	2004	102.23	0
Danjugan Island Marine Reserve and Sanctuaries	null Cauayan Negros Occidental	Municipal Ordinance Mun. Ord. 52-1999 (approved by Provincial Board)	null	2000	102.4	0
Aquino-Ondoy Marine Fish Sanctuary and Fishery Reserve	Ondoy Ibajay Aklan	Municipal Ordinance Mun. Res. No. 2006-005; Brgy. Ord. No. 2000-07	null	2004	102.85	0
Tambunan Marine Sanctuary	Malim Tabina Zamboanga Del Sur	Mun. Ordinance # 03-89/2003	null	2002	103	0
Tambunan Marine Protected Area	null Tabina Zamboanga Del Sur	Municipal Ordinance Municipal Ordinance 03-91	null	2003	103.5	0
Receiving Reef	Santa Lucia Sablayan Occidental Mindoro	General Ordinance 03-2008	null	2008	103.58	0
Taracan Marine Protected Area	null Dinas Zamboanga Del Sur	Municipal Ordinance Municipal Ordinance No. 1, Series of 2000	null	2000	104	0
Lipata II Marine Protected Area	Lipata Pres. Carlos P. Garcia Bohol	Brgy Res No. 03 Series 2008;

Mun Ord No.11-09 Year 2008	null	2008	104.2	0
Dinas Marine Protected Area	null Dinas Zamboanga Del Sur	NA	null	2000	106	0
Caalan Marine Protected Area	null null Palawan	Municipal Ordinance Mun. Ordinance No. 001 series of 2008 ""An Ordinance Establishing the Caalan Marine Protected Area Located at Barangay Masagana, Municipality of EL Nido, Palawan""	null	2008	107.1	0
Caalan Community-Managed Marine Area	Masagana Pob. (Barangay 3) El Nido (Bacuit) Palawan	MO 2008-01	null	2008	107.1	0
Salong-Calero Seagrass and Corals Marine Protected Area	Calero City of Calapan Oriental Mindoro   / Salong City of Calapan Oriental Mindoro	Resolution No. 390 City Ordinance No.6 Series of 2017	null	2016	107.6	0
Sogod Bay	null null Southern Leyte	NA	null	0	108	0
Sagrada-Bogtong Marine Protected Area	Sagrada Busuanga Palawan   / Bogtong Busuanga Palawan	Municipal Ordinance MO# 3-s-2006	null	2006	109	392
Naro Mangrove Wilderness Area	null null null	Proclamation 317, 2000	null	2000	109.98	0
Matungao Fish Sanctuary	null San Isidro Leyte	Municipal Ordinance MO & BO #5	null	0	110	0
Awasan Fish Sanctuary (Awasan Reef)	null Tagkawayan Quezon	Municipal Ordinance MO# 6, MR# 25	null	2001	112	0
Capoocan Fish Sanctuary	null Capoocan Leyte	Municipal Ordinance MO# 259 & FAO #178	null	1991	112.2	0
Laiya Ibabao Seascape NTZ	Laiya-Ibabao San Juan Batangas	MO 01-2010, amended Municipal Ordinance No. 07-2006 / RA 8550	null	2006	113	0
Pilar Marine Fish Sanctuary	Asinan Pilar Surigao Del Norte	Municipal Ordinance No.	null	2013	114	0
Casintan Marine Protected Area	Abra Gattaran Cagayan	Ordinance No.9 s.1999	null	1999	115.83	1
Talaga ""Leek"" and Manukan Island  Marine Sanctuary	null Cagayancillo Palawan	Municipal Ordinance Municuipal Ordiance 01-2009. An ordinance establishing marine sanctuaries in the municipality of Cagayancillo and regulating use of activities within the marine sanctuaries/reserves	null	2004	116.76	0
Subic Municipal MPA	Calapacuan Subic Zambales	Regulatory Ordinance No. 2011-07 (October 19, 2011)	null	2011	118	96
Berong Marine Protected Area	null null null	.	null	0	118.2	6083.59
San Antonio & Salingogon Fish Sanctuary	null Minalabac Camarines Sur	NA	null	2000	119	0
Corong-Corong Community-Managed Marine Area (Depeldet Is)	Corong-Corong Pob. (Barangay 4) El Nido (Bacuit) Palawan	MO 2009-02	null	2009	119	0
Lupakon and Bilangbilang Reefs Marine Sanctuary	Inapulangan Guiuan Eastern Samar	MUNICIPAL FISHERIES ORDINANCE NO. 02, SERIES OF 1998	null	1998	120	1
Taglawigan Fish Sanctuary	null San Isidro Leyte	Municipal Ordinance MO & BO #8	null	0	120	0
Malipot Rawis Lagbak Marine Reserve and Fish Sanctuary	null Prieto Diaz Sorsogon	Municipal Ordinance MO# 96-19, MO# 97-07	null	1997	120	0
Bacon Marine Reserve	San Juan Bacon Sorsogon	Municipal Resolution No. 18, Series of 1999	null	1999	120	0
Limbayan Biruar Marine Turtle and Coral Reef Sanctuary	null Parang Maguindanao	NA	null	0	120.2	0
Malabungot Protected Landscape and Seascape/ Lamit Island Mangrove Swamp and Forest Reserve	null Garchitorena Camarines Sur	Proclamation No. 2152, s.1981	null	2000	120.62	0
Ogtok Fish Sanctuary & Marine Reserve	null Ragay Camarines Sur	Municipal Ordinance MO 1995-005, revised MO 2003 -016	null	1997	121	0
Port Barton Marine Park	null San Vicente Palawan	Resolution No. 126 s1997

MO 10 s1997

Resolution No. 110 s1997

MO 03 s 1997

MO 01-A

Resolution No. 13 s1998

EO No. 0018 S1999	null	1998	123	7482
Sinabacan-Malimanga Marine Protected Area	Malimanga Candelaria Zambales   / Sinabacan Candelaria Zambales	Municipal Fishery Ordinance 23-A, 2003	null	2003	124	142
Tandu Balasan Marine Protected Area	null Naga Zamboanga Sibugay	NA	null	2004	124	0
Bugor Sand Marine Protected Area	null Culion Palawan	Municipal Ordinance MO# 004-s-2005	null	2005	125	0
San Pablo de Bauan MPA and Fishery Reserve	San Pablo Bauan Batangas	Ordinace no. VII, series of 2009	Batangas Marine Protected Area And Bantay Dagat Network	2009	125.38	0
San Salvador Marine Sanctuary	Santa Rita Masinloc Zambales	Municipal Ordinance No. 30-1989

Municipal Ordinance  No. 92-08	null	1989	127	0
Nagbandera and Dawawow Reefs Marine Sanctuaries	null Puerto Princesa City Palawan	Municipal Ordinance Ordinance No. 337: An Ordinance Declaring the Coastal and Marine Areas at the Nagbandera and Dawawow Reefs, both located at Bgy. San Rafael , Puerto Princesa City, as Marine Sanctuaries.	null	2007	127	0
Agojo Point Fish Sanctuary	null San Andres Catanduanes	Municipal Ordinance MO# 3	null	1993	127	0
Maomawan Fish Sanctuary	Maomawan Bien Unido Bohol	Municipal Ordinance MO# 2000-21	null	1997	127.9	0
Mapagba Fish Sanctuary (Burias Reef)	null Banaybanay Davao Oriental	Municipal Ordinance MO# 5	null	1997	131	0
Casao Marine Reserve	null Bontoc Southern Leyte	Municipal Ordinance Mun. Ord. (specific number not obtained)	null	1995	133.98	0
Bahurang Aurora Fishery Reserve	Guitna Looc Occidental Mindoro	Joint Municipal Ordinance No 1. Series of 2010	null	2010	136	0
Maragakdak No Take Zone	Calutcot Burdeos Quezon	Municipal Resolution No. 035 Series of 2007	null	2007	137.5	0
Parola Reef	Poblacion (Lumangbayan) Sablayan Occidental Mindoro	General Ordinance 03-2008	null	2008	137.51	0
Matnog Marine Reserve Fish Sanctuary	Calintaan Matnog Sorsogon	Munucipal Ordinance No.10 Series 2005	null	2005	138	0
Imelda Marine Reserve	Imelda (Tubog) San Juan Batangas	MO 01-2010, amended Municipal Ordinance No. 07-2006 / RA 8550	null	2006	138	0
Bugtongbato Marine Fish Sanctuary and Fishery Reserve	Bugtongbato Ibajay Aklan	NA	null	2013	138.21	0
Lagas Island Marine Sanctuary	null Coron Palawan	Municipal Ordinance MO, MR# 02	null	2001	140	0
Sampotan Islet Marine Protected Area	null Catbalogan Samar	Municipal Ordinance Mun. Ord. 200-017	null	2005	140.65	0
Lukpan MPA (Malamawi Island)	null Isabela Basilan	NA	null	0	142	0
Municipal Fish Sanctuary	Dapdap Barobo Surigao Del Sur	Ordinance No. 2003 (Amended in 2011)

Municipal Ordinance Np. 04 S 2011 (Comprehensive Fisheries Code of Barobo)	null	2003	142.489	0
Caranan Fish Sanctuary	null Pasacao Camarines Sur	Municipal Ordinance MO 1993-007, MO 2000-03	null	1993	144	0
Binoclutan-Porac-Panan Marine Protected Area	Porac Botolan Zambales   / Binuclutan Botolan Zambales   / Panan Botolan Zambales	MO 10-2011	null	2011	148	108
Ivisan Marine Sanctuary and Forest Reserve	null Ivisan Capiz	NA	null	2014	149.318	0
Cinco Marine Protected Area & Fish Sanctuary	null Catbalogan Samar	NA	null	2005	150	0
Mabini FS	null San Andres Romblon	NA	null	2001	150	0
Pitogo Bay Pandanan Seaweeds Municipal Nursery	null Caramoan Camarines Sur	NA	null	0	150	0
Baco Marine Protected Area	Pulang-Tubig Baco Oriental Mindoro   / San Andres Baco Oriental Mindoro	Municipal Ordinance No. 86-2015	Oriental Mindoro Marine Protected Area And Fishery Law Enforcement Network (Ommpafle Network)	2015	152.53	0
Brgy. Carlagan Fish Sanctuary	Carlagan Burdeos Quezon	Municipal Resolution No. 035 Series of 2007	null	2007	153.1	0
Abra de Ilog Fish Sanctuary	null Abra de Ilog Occidental Mindoro	Municipal Fishery Ordinance No. 97-2007	null	2007	154.47	0
Municipal Fish Sanctuary & Marine Reserve	Poblacion Capalonga Camarines Norte	04-2010 Mun. Ordinance	null	2010	155	1
Lucban-Macalog Reef MPA	null Palauig Zambales	Municipal Ordinance Municipal Ordinance No. 94 - An Ordinance Designating a Marine Sanctuary and Marine Reservation area at Locban Macalog Reef, Palauig, Zambales	null	2007	155	125
Sanipaan Marine Park	Tambo Island Garden City of Samal Davao Del Norte	City Ordinance	Davao Gulf Marine Protected Area Network Plan	2008	158	0
Brgy. Caramay Marine Protected Area (BCMPA)	Caramay Roxas Palawan	Municipal ordinance no. 4, s 2004, amended by MO 339 s of 2007	null	2004	158	1281
